"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"02180","county",2023,95.95,121.58,173.28,124.43,"education_state_rnk",25.9259
"02185","county",2023,96.44,153.52,119.87,115.92,"education_state_rnk",48.1481
"02188","county",2023,83.55,116.81,182.8,117.71,"education_state_rnk",14.8148
"02195","county",2023,106.99,136.53,84.95,107.27,"education_state_rnk",55.5556
"02198","county",2023,108.78,97.73,102.85,172.09,"education_state_rnk",33.3333
"02220","county",2023,128.24,113.87,98.76,100.26,"education_state_rnk",70.3704
"02230","county",2023,118.7,162.69,57.74,122.49,"education_state_rnk",100
"02240","county",2023,107.52,135.9,96.71,124.85,"education_state_rnk",51.8519
"02275","county",2023,107.55,78.13,85.85,108.63,"education_state_rnk",18.5185
"02282","county",2023,118.31,125.32,54.6,154.62,"education_state_rnk",62.963
"02290","county",2023,95.4,71.33,125.25,200.27,"education_state_rnk",7.4074
"02013","county",2023,NA,NA,NA,NA,"education_state_rnk",NA
"02016","county",2023,95.01,156.33,69.46,124.35,"education_state_rnk",59.2593
"02020","county",2023,122.17,131.3,105.5,83.85,"education_state_rnk",92.5926
"02050","county",2023,68.07,107.18,169.47,114.94,"education_state_rnk",3.7037
"02060","county",2023,125.64,142.16,51.59,148.84,"education_state_rnk",96.2963
"02063","county",2023,121.62,132.84,100.69,113.49,"education_state_rnk",74.0741
"02066","county",2023,104.93,98.78,113.55,142.43,"education_state_rnk",29.6296
"02068","county",2023,NA,NA,NA,NA,"education_state_rnk",NA
"02070","county",2023,88.45,148.24,148.01,131.38,"education_state_rnk",37.037
"02090","county",2023,125.02,127.09,106.29,95.61,"education_state_rnk",85.1852
"02100","county",2023,134.29,122.87,105.18,123.98,"education_state_rnk",88.8889
"02105","county",2023,112.11,70.84,62.05,156.77,"education_state_rnk",22.2222
"02110","county",2023,126.62,124.48,93.88,102.66,"education_state_rnk",81.4815
"02122","county",2023,116.88,104.7,90.61,100.29,"education_state_rnk",44.4444
"02130","county",2023,121.14,139.75,94.07,105.66,"education_state_rnk",77.7778
"02150","county",2023,118.8,94.31,111.1,104.01,"education_state_rnk",40.7407
"02158","county",2023,62.98,66.46,201.52,112.9,"education_state_rnk",0
"02164","county",2023,106.15,70.01,134.63,329,"education_state_rnk",11.1111
"02170","county",2023,115.02,129.74,112.99,94.6,"education_state_rnk",66.6667
"02180","county",2023,95.95,121.58,173.28,124.43,"education_state_rnk",25.9259
"02185","county",2023,96.44,153.52,119.87,115.92,"education_state_rnk",48.1481
"02188","county",2023,83.55,116.81,182.8,117.71,"education_state_rnk",14.8148
"02195","county",2023,106.99,136.53,84.95,107.27,"education_state_rnk",55.5556
"02198","county",2023,108.78,97.73,102.85,172.09,"education_state_rnk",33.3333
"02220","county",2023,128.24,113.87,98.76,100.26,"education_state_rnk",70.3704
"02230","county",2023,118.7,162.69,57.74,122.49,"education_state_rnk",100
"02240","county",2023,107.52,135.9,96.71,124.85,"education_state_rnk",51.8519
"02275","county",2023,107.55,78.13,85.85,108.63,"education_state_rnk",18.5185
"02282","county",2023,118.31,125.32,54.6,154.62,"education_state_rnk",62.963
"02290","county",2023,95.4,71.33,125.25,200.27,"education_state_rnk",7.4074
"02013","county",2023,NA,NA,NA,NA,"education_state_rnk",NA
"02016","county",2023,95.01,156.33,69.46,124.35,"education_state_rnk",59.2593
"02020","county",2023,122.17,131.3,105.5,83.85,"education_state_rnk",92.5926
"02050","county",2023,68.07,107.18,169.47,114.94,"education_state_rnk",3.7037
"02060","county",2023,125.64,142.16,51.59,148.84,"education_state_rnk",96.2963
"02063","county",2023,121.62,132.84,100.69,113.49,"education_state_rnk",74.0741
"02066","county",2023,104.93,98.78,113.55,142.43,"education_state_rnk",29.6296
"02068","county",2023,NA,NA,NA,NA,"education_state_rnk",NA
"02070","county",2023,88.45,148.24,148.01,131.38,"education_state_rnk",37.037
"02090","county",2023,125.02,127.09,106.29,95.61,"education_state_rnk",85.1852
"02100","county",2023,134.29,122.87,105.18,123.98,"education_state_rnk",88.8889
"02105","county",2023,112.11,70.84,62.05,156.77,"education_state_rnk",22.2222
"02110","county",2023,126.62,124.48,93.88,102.66,"education_state_rnk",81.4815
"02122","county",2023,116.88,104.7,90.61,100.29,"education_state_rnk",44.4444
"02130","county",2023,121.14,139.75,94.07,105.66,"education_state_rnk",77.7778
"02150","county",2023,118.8,94.31,111.1,104.01,"education_state_rnk",40.7407
"02158","county",2023,62.98,66.46,201.52,112.9,"education_state_rnk",0
"02164","county",2023,106.15,70.01,134.63,329,"education_state_rnk",11.1111
"02170","county",2023,115.02,129.74,112.99,94.6,"education_state_rnk",66.6667
"02180","county",2023,95.95,121.58,173.28,124.43,"education_state_rnk",25.9259
"02185","county",2023,96.44,153.52,119.87,115.92,"education_state_rnk",48.1481
"02188","county",2023,83.55,116.81,182.8,117.71,"education_state_rnk",14.8148
"02195","county",2023,106.99,136.53,84.95,107.27,"education_state_rnk",55.5556
"02198","county",2023,108.78,97.73,102.85,172.09,"education_state_rnk",33.3333
"02220","county",2023,128.24,113.87,98.76,100.26,"education_state_rnk",70.3704
"02230","county",2023,118.7,162.69,57.74,122.49,"education_state_rnk",100
"02240","county",2023,107.52,135.9,96.71,124.85,"education_state_rnk",51.8519
"02275","county",2023,107.55,78.13,85.85,108.63,"education_state_rnk",18.5185
"02282","county",2023,118.31,125.32,54.6,154.62,"education_state_rnk",62.963
"02290","county",2023,95.4,71.33,125.25,200.27,"education_state_rnk",7.4074
